codBPIN;nomProy
0002000200000;MEJORAMIENTO DE LA GESTION DE LAS POLITICAS PUBLICAS A TRAVES DE LAS TECNOLOGIAS DE INFORMACION TICS
0002080460000;ADQUISICION DE EQUIPOS DEL PLAN NACIONAL DE AERONAVEGACION A NIVELNACIONAL.
0002080480000;ADQUISICION EQUIPOS Y REPUESTOS PARA SISTEMAS AEROPORTUARIOS NIVELNACIONAL
0002080500000;MEJORAMIENTO Y RECUPERACION ESTACIONES DE RADIOAYUDAS A NIVEL NACIONAL.
0002080670000;MANTENIMIENTO Y CONSERVACION DE LA INFRAESTRUCTURA AEROPORTUARIA.
0002080690000;MANTENIMIENTO Y CONSERVACION DE EQUIPO AEREO.
0002080700000;MANTENIMIENTO Y CONSERVACION DE EQUIPOS DE SEGURIDAD AEROPORTUARIA.
0002080710000;MANTENIMIENTO Y CONSERVACION DE EQUIPOS DE COMPUTACION.
0002080790000;ADQUISICION TERRENOS PARA CONSTRUCCION Y AMPLIACION DE AEROPUERTOS
0002080800000;CAPACITACION PERSONAL TECNICO Y ADMINISTRATIVO.
0005040109999;MANTENIMIENTO DE VIAS FERREAS A NIVEL  NACIONAL.
0008000500000;ACTUALIZACION DE ESTUDIOS Y ENCUESTAS DE PROPOSITOS MULTIPLES
0010002950000;LEVANTAMIENTO Y ACTUALIZACION DE LA CARTA GENERAL DEL PAIS.
0010003080000;INVESTIGACION EN SENSORES REMOTOS Y SISTEMAS DE INFORMACION GEOGRAFICA
0010003140000;EDICION DE INFORMACION GEOGRAFICA A NIVEL NACIONAL.
0011000210000;CAPACITACION DE EMPLEADOS DEL INSTITUTO NACIONAL DE VIAS. - PREVIO CONCEPTO DNP
0011000860000;LEVANTAMIENTO Y ANALISIS DE INFORMACION SOBRE TRANSITO Y DE PESOS DE VEHICULOS DE CARGA. - PREVIO CONCEPTO DNP
0011001560000;CONSERVACION DE VIAS A TRAVES DE MICROEMPRESAS Y ADMINISTRADORES VIALES.
0011002050000;CONSTRUCCION RECONSTRUCCION, ADQUISICION Y ADECUACION DE CASETAS DEPEAJE
0011002100000;ADMINISTRACION RECAUDO Y CONTROL DE PEAJE.
0011045660000;CONSTRUCCION OBRAS DE EMERGENCIA PARA LA RED VIAL NACIONAL.
0011048890000;CONSTRUCCION PUENTES DE LA RED VIAL.
0011049100000;ANALISIS Y ESTUDIOS VARIOS. - PREVIO CONCEPTO DNP
0011080640000;CAPACITACION Y ASISTENCIA TECNICA A FUNCIONARIOS DEL MINISTERIO DE TRANSPORTE.
0011080669999;REHABILITACION , MANTENIMIENTO Y CONTRUCCION DE ESTRUCTURAS PARA LA AMPLIACION DE LA CAPACIDAD DE LOS CANALES DE ACCESO A LOS PUERTOS MARITIMOS DE LA NACION. - PREVIO CONCEPTO DNP
0011080920000;ADQUISICION DE EQUIPOS DE COMPUTACION Y COMUNICACIONES, SOFTWARE, SERVICIOS E INSUMOS PARA LA SISTEMATIZACION INTEGRAL DEL MINISTERIO DE TRANSPORTE A NIVEL CENTRAL Y REGIONAL.
0011083900000;ADQUISICION DE BIENES E INSUMOS PARA CONTROL DEL TRANSITO Y TRANSPORTE TERRESTRE
0011090680000;CONSTRUCCION MEJORAMIENTO REHABILITACION Y MANTENIMIENTO DE LA RED VIAL- FONDO DE SUBSIDIO DE LA SOBRETASA A LA GASOLINA. LEY 488 DE 1998
0011095410000;IMPLEMENTACION DE UN SISTEMA DE RECOLECCION DE DATOS PARA EL TRANSPORTE TERRESTRE AUTOMOTOR
0011099850000;ESTUDIOS PARA EL DESARROLLO DE POLITICAS EN INFRAESTRUCTURA DE LOS MODOS DE TRANSPORTE A CARGO DE LA DIRECCION DE INFRAESTRUCTURA. REGION NACIONAL
0011100530000;ADMINISTRACION GERENCIAL DEL RUNT Y ORGANIZACION  PARA LA INVESTIGACION Y DESARROLLO EN EL SECTOR TRANSITO Y TRANSPORTE. LEY 1005 DE 2006. REGION NACIONAL
0011102660000;PROGRAMAS DE PROMOCION PARA LA REPOSICION Y RENOVACION DEL PARQUE AUTOMOTOR DE CARGA NACIONAL. REGION NACIONAL
0012001229999;ANALISIS INVESTIGACION EVALUACION CONTROL Y REGLAMENTACION DEL SECTOR DE COMUNICACIONES.
0012052060000;AMPLIACION   PROGRAMA DE TELECOMUNICACIONES SOCIALES
0012052110000;AMPLIACION  PROGRAMA COMPUTADORES PARA EDUCAR
0012052200000;ASISTENCIA CAPACITACION Y APOYO PARA EL ACCESO, USO Y BENEFICIO SOCIAL DE TECNOLOGIAS Y SERVICIOS DE TELECOMUNICACIONES
0012052300000;CONSTRUCCION Y DIVULGACION DE LINEAMIENTOS DE POLITICA DEL SECTOR COMUNICACIONES EN COLOMBIA
0012052470000;APROVECHAMIENTO PROMOCION, USO Y APROPIACION DE PRODUCTOS Y SERVICIOS DE TIC EN COLOMBIA
0012052490000;APOYO A LA INNOVACION DESARROLLO E INVESTIGACION DE EXCELENCIA EN TIC EN COLOMBIA
0012052530000;APROVECHAMIENTO ASISTENCIA AL SECTOR DE LAS TICS NACIONAL
0012052540000;IMPLEMENTACION DE UN PLAN DE CONTINGENCIA PARA EL FORTALECIMIENTO EN COMUNICACIONES  Y ENTREGA DE EQUIPOS A NIVEL NACIONAL
0013006080000;DEMARCACION MARITIMA
0013010230000;ADQUISICION SISTEMA DE COMUNICACIONES AERONAUTICAS
0013060559999;MEJORAMIENTO SISTEMA DE ACUEDUCTO- ALCANTARILLADO DE UNIDADES DEL EJERCITO
0013060600000;MANTENIMIENTO MAYOR DE COMUNICACIONES
0013061350000;DISENO Y CONSTRUCCION SEDES.DIRECCION GENERAL MARITIMA.
0013061370000;ADQUISICION Y REPOSICION EQUIPO OPERACIONAL. DIRECCION GENERAL MARITIMA
0013061380000;MEJORAMIENTO DE LA INVESTIGACION MARITIMA. DIMAR.
0013061430000;SISTEMATIZACION Y AUTOMATIZACION DE OFICINA CON ENFASIS EN EL PROCESAMIENTO DE IMAGENES Y VOZ PARA LA SECRETARIA GENRAL.
0013061550000;IMPLANTACION SISTEMA INTEGRAL DE INFORMACION DEL SUBSISTEMA DE SALUD DE LAS FUERZAS MILITARES
0013061570000;ADQUISICION Y MODERNIZACION DE GESTION Y TECNOLOGIAS DE INFORMACION PARA EL SECTOR DEFENSA NACIONAL
0013061760000;MANTENIMIENTO MAYOR EQUIPO AERONAUTICO
0013062530000;MEJORAMIENTO DE LA INVESTIGACION, CIENCIA Y TECNOLOGIA EN LA FUERZA AEREA A NIVEL NACIONAL
0013062550000;ACTUALIZACION DE TECNOLOGIAS DE LA INFORMACION, COMUNICACIONES Y SEGURIDAD DE LA INFORMACION A NIVEL NACIONAL
0013062560000;AMPLIACION Y FORTALECIMIENTO DE LA INTELIGENCIA Y LA CONTRAINTELIGENCIA EN LA FAC A NIVEL  NACIONAL
0013062600000;CONSTRUCCION Y DOTACIÓN DE LA ESCUELA DE PROTECCIÓN AMBIENTAL EN MARIQUITA TOLIMA
0013062640000;RENOVACION EQUIPO AUTOMOTOR HOSMIL BOGOTA
0013062750000;RECUPERACION Y MANTENIMIENTO MAYOR DE AERONAVES Y COMPONETES  NACIONAL
0013062780000;CONSTRUCCION ADECUACIÓN, MANTENIMIENTO Y DOTACIÓN DE LAS INSTALACIONES PARA LA ESCUELA SUPERIOR DE GUERRA EN LA CIUDAD DE  BOGOTA
0016001680000;ADMINISTRACION PRODUCCION Y CONTROL DE LA CALIDAD DE BIOLOGICOS Y QUIMICOS Y ANIMALES DE LABORATORIO.
0016001720000;CONSTRUCCION Y REMODELACION DE LABORATORIOS.
0019171300000;IMPLANTACION DE UN PROGRAMA RED DE SEGURIDAD ALIMENTARIA - RESA REGION NACIONAL
0020001319999;CAPACITACION DE RECURSOS HUMANOS PARA LA INVESTIGACION.
0020006410000;FORTALECIMIENTO DEL DESARROLLO INSTITUCIONAL DEL INSTITUTO CARO Y CUERVO A NIVEL NACIONAL
0020006420000;ADQUISICION DE OBRAS PARA LA BIBLIOTECA Y DE EQUIPOS PARA EL FUNCIONAMIENTO Y MODERNIZACION  DE LA IMPRENTA Y LOS PROCESOS MISIONALES Y DE APOYO A NIVEL NACIONAL
0020006430000;ADECUACION  MEJORAMIENTO, MANTENIMIENTO, DOTACION Y CONTROL ARQUITECTONICO DE LAS SEDES DEL INSTITUTO CARO Y CUERVO EN LA CIUDAD DE BOGOTA Y EN EL MUNICIPIO DE CHIA
0020006440000;INVESTIGACIÓN , EDICIÓN  Y DIVULGACIÓN DE LOS TRABAJOS DEL INSTITUTO EN LAS ÁREAS  DE LINGÜÍSTICA, LITERATURA Y SEMIÓTICA A NIVEL NACIONAL
0020050610000;MEJORAMIENTO DE LA ATENCION EDUCATIVA DE LA POBLACION SORDA A NIVEL NACIONAL
0020054370000;IMPLANTACION DE UN MODELO DE MODERNIZACION Y GESTION PUBLICA APLICADO AL INSOR A NIVEL NACIONAL
0020056410000;DOTACION BIBLIOTECA, RECURSOS EDUCATIVOS Y LABORATORIOS ACADEMICOS DEL INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL
0020056500000;MEJORAMIENTO DE LA CALIDAD DE LA EDUCACION PREESCOLAR, BASICA Y MEDIA.
0020057790000;ADQUISICION DOTACION REPOSICION E IMPLEMENTACION DE MAQUINARIA, EQUIPOS Y HERRAMIENTAS DE LOS TALLERES Y LABORATORIOS DEL INSTITUTO TECNICO REGION BOGOTA D.C.
0020057800000;DIVULGACION ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO DEL INSTITUTO TECNICO CENTRAL.
0020057810000;MANTENIMIENTO REMODELACION ADECUACION Y RECUPERACION DE LA PLANTA FISICA DEL INSTITUTO TECNICO CENTRAL
0020059000000;REMODELACION Y DOTACION DE LAS INSTALACIONES DEL INSTITUTO DE FORMACION TECNICA PROFESIONAL DE SAN JUAN DEL CESAR - GUAJIRA.
0020059230000;IMPLANTACION DE UN PROGRAMA PARA LA TRANSFORMACION DE LA EDUCACION TECNICA Y TECNOLOGICA EN COLOMBIA
0020059560000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD NACIONAL A DISTANCIA
0020059580000;APORTES PARA LA FINANCIACION DE LA UNIVERSIDAD DEL PACIFICO.
0020059620000;ESTUDIOS, HERRAMIENTAS Y ORIENTACIONES PARA MEJORAR LA CALIDAD DE VIDA DE LA POBLACION COLOMBIANA CON LIMITACION AUDITIVA NACIONAL
0020059630000;MEJORAMIENTO DE LA INFRAESTRUCTURA FISICA DEL INSOR EN BOGOTA
0020060880000;CAPACITACION  EN AREAS DE FORMACION PROFESIONAL DEL PERSONAL ADMINISTRATIVO Y DOCENTE DEL  INFOTEP DE SAN JUAN DEL CESAR GUAJIRA
0023000310000;OPTIMIZACION Y ORGANIZACION ARCHIVISTICA DE DOCUMENTOS DEL ARCHIVOCENTRAL DEL MINISTERIO DE MINAS Y ENERGIA , BOGOTA D.C.
0023000450000;ASESORIA PARA EL ANALISIS Y FORMULACION DEL DESARROLLO DEL SUBSECTOR DE HIDROCARBUROS NACIONAL
0023000730000;IMPLEMENTACION COMPENSACION POR EL TRANSPORTE DE COMBUSTIBLES LIQUIDOS DERIVADOS DEL PETROLEO ENTRE YUMBO Y LA CIUDAD DE PASTO
0023001140000;DIAGNOSTICO MINERO AMBIENTAL DE LOS PASIVOS EN EL TERRITORIO NACIONAL
0023002360000;ASESORIA TÉCNICA PARA EL SEGUIMIENTO A LOS CONTRATOS Y CONVENIOS DEL SUBSECTOR GAS COMBUSTIBLE NACIONAL
0023003580000;IMPLEMENTAR Y MANTENER ACTUALIZADA LA INFRAESTRUCTURA TIC DEL SECTOR MINERO ENERGÉTICO  DE ACUERDO AL PETIC SECTORIAL – BOGOTÁ
0023003820000;ASESORIA ,  DISEÑO, ADQUISICION, MANTENIMIENTO Y CONSTRUCCION DEL SISTEMA DE INFORMACION DE LA CADENA DE DISTRIBUCION DE COMBUSTIBLES LIQUIDIOS DEREIVADOS DEL PETROLEO - SICOM - REGION NACIONAL
0024000080000;SISTEMATIZACION RED DE INFORMACION AGROPECUARIA  A NIVEL NACIONAL
0024010239999;IMPLANTACION Y OPERACION FONDO DE COMERCIALIZACION DE PRODUCTOS AGROPECUARIOS A NIVEL NACIONAL.
0024012160000;MEJORAMIENTO Y OPERACIÓN INSTITUCIONAL MINISTERIO DE AGRICULTURA A NIVEL NACIONAL
0025001020000;ASISTENCIA AL DESARROLLO EMPRESARIAL, EL EMPRENDIMIENTO Y EL EMPRESARISMO
0025001040000;ADMINISTRACION E INTERMEDIACION DE EMPLEO Y DESARROLLO DE PROGRAMASDE FORMACION OCUPACIONAL PARA DESEMPLEADOS
0025001050000;ADMINISTRACION EDUCATIVA Y SERVICIOS DE APOYO A LA FORMACION PROFESIONAL.
0025001060000;CAPACITACION SECTOR INDUSTRIA DE LA CONSTRUCCION.
0025001070000;CREDITO HIPOTECARIO PARA SUS EMPLEADOS Y PAGO DE CESANTIAS.
0025001090000;CAPACITACION Y ACTUALIZACION DE DOCENTES, ASESORES Y PERSONAL DE APOYO.
0025002090000;ADMINISTRACION DE LA INVERSION DE CAPITAL PARA RESPALDAR RESERVAS Y PAGO DE MESADAS PENSIONALES
0025002100000;CONSTRUCCION Y ADECUACION DE EDIFICIOS PARA LA CAPACITACION LABORAL.
0025002190000;ASISTENCIA TECNICA PARA LA PROMOCION DE LOS SERVICIOS DEL SENA Y LA EFECTIVIDAD EN EL RECAUDO DE APORTES
0025002210000;ADMINISTRACION DE CAPITALES PARA APOYOS DE SOSTENIMIENTO PARA ALUMNOS EN FORMACION.
0025002540000;EXPLOTACION DE LOS RECURSOS DE LOS CENTROS, AREAS ADMINISTRATIVAS Y DE APOYO A LA FORMACION PARA LA PRODUCCION Y VENTA DE BIENES Y SERVICIOS
0025002550000;ACTUALIZACION Y/O ELABORACION DE DISENOS CURRICULARES
0025002770000;IMPLANTACION DE PROGRAMAS PARA LA INNOVACION Y EL DESARROLLO TECNOLOGICO.
0025002840000;APOYO A INICIATIVAS EMPRESARIALES MEDIANTE EL FONDO EMPRENDER -FE
0025002870000;NORMALIZACION Y CERTIFICACION DE COMPETENCIAS LABORALES, RECONOCIMIENTO Y ARTICULACION DE LOS PROGRAMAS Y REDES DE ENTIDADES DE FORMACION, PARA CONSOLIDAR EL S.N.F.T. EN COLOMBIA COLOMBIA
