codBPIN;nomProy
;DESTINACION DE RECURSOS PARA FINANCIAR PROYECTOS DE SANEAMIENTO AMBIENTAL, FINANCIACION DE PROGRAMAS Y PROYECTOS PARA LA DESCONTAMINACION, PRESERVACION Y RECONSTRUCCION AMBIENTAL DE LA MOJANA. PAGO PASIVOS EXIGIBLES – VIGENCIAS EXPIRADAS
;REMODELACION Y REFUERZO ESTRUCTURAL DE LAS INSTALACIONES DEL HOMIC
;ESTUDIO E INVESTIGACIONES GEOGRAFICAS PARA LOS PROCESOS DE PLANIFICACION Y ORDENAMIENTO TERRITORIAL A NIVEL NACIONAL
;ESTUDIO E INVESTIGACIONES GEOGRAFICAS PARA LOS PROCESOS DE PLANIFICACION Y ORDENAMIENTO TERRITORIAL A NIVEL NACIONAL
;LEVANTAMIENTO DE SUELOS, GEOMORFOLOGIA Y MONITOREO DE FACTORES QUE AFECTAN EL RECURSO TIERRA EN COLOMBIA
;LEVANTAMIENTO DE SUELOS, GEOMORFOLOGIA Y MONITOREO DE FACTORES QUE AFECTAN EL RECURSO TIERRA EN COLOMBIA
;IMPLEMENTACION A LA GESTION PREDIAL POR CONSTRUCCION, MEJORAMIENTO, REHABILITACION, CONSERVACION Y EMERGENCIAS EN LOS PROYECTOS DE INVERSION DEL INSTITUTO NACIONAL DE VIAS NACIONAL
;ASISTENCIA TECNICA: INSTRUMENTACION E IMPLEMENTACION DEL MARCO DE PLANIFICACION Y GESTION TERRITORIAL Y URBANA DE LA POLITICA URBANA NACIONAL
;ASISTENCIA TECNICA: INSTRUMENTACION E IMPLEMENTACION DEL MARCO DE PLANIFICACION Y GESTION TERRITORIAL Y URBANA DE LA POLITICA URBANA NACIONAL
;INCORPORACION DEL CONOCIMIENTO CIENTIFICO EN EL ORDENAMIENTO Y PLANIFICACION AMBIENTAL DEL TERRITORIO MARINO Y COSTERO COLOMBIANO NACIONAL
;PROGRAMA EMERGENCIA SANITARIA
;ASISTENCIA TECNICA: INSTRUMENTACION E IMPLEMENTACION DEL MARCO DE PLANIFICACION Y GESTION TERRITORIAL Y URBANA DE LA POLITICA URBANA NACIONAL
;ASISTENCIA TECNICA: INSTRUMENTACION E IMPLEMENTACION DEL MARCO DE PLANIFICACION Y GESTION TERRITORIAL Y URBANA DE LA POLITICA URBANA NACIONAL
;DIAGNOSTICO, MANEJO Y ORDENAMIENTO DE CUENCAS HIDROGRAFICAS EN EL AREA DE JURISDICCION.
;FORMULACION E IMPLEMENTACION DE PLANES DE ORDENAMIENTO DE CUENCAS HIDROGRAFICAS PRIORIZADAS EN LA JURISDICCION DE CORPOURABA DEPARTAMENTO DE ANTIOQUIA
;ESTUDIO E INVESTIGACIONES GEOGRAFICAS PARA LOS PROCESOS DE PLANIFICACION Y ORDENAMIENTO TERRITORIAL A NIVEL NACIONAL
;ESTUDIO E INVESTIGACIONES GEOGRAFICAS PARA LOS PROCESOS DE PLANIFICACION Y ORDENAMIENTO TERRITORIAL A NIVEL NACIONAL
;LEVANTAMIENTO DE SUELOS, GEOMORFOLOGIA Y MONITOREO DE FACTORES QUE AFECTAN EL RECURSO TIERRA EN COLOMBIA.
;LEVANTAMIENTO DE SUELOS, GEOMORFOLOGIA Y MONITOREO DE FACTORES QUE AFECTAN EL RECURSO TIERRA EN COLOMBIA.
;IMPLEMENTACION A LA GESTION PREDIAL POR CONSTRUCCION, MEJORAMIENTO,REHABILITACION, CONSERVACION Y EMERGENCIAS EN LOS PROYECTOS DE INVERSION DEL INSTITUTO NACIONAL DE VIAS NACIONAL
;INCORPORACION DEL CONOCIMIENTO CIENTIFICO EN EL ORDENAMIENTO Y PLANIFICACION AMBIENTAL DEL TERRITORIO MARINO Y COSTERO COLOMBIANO 
;ASISTENCIA TECNICA: INSTRUMENTACION E IMPLEMENTACION DEL MARCO DE PLANIFICACION Y GESTION TERRITORIAL Y URBANA DE LA POLITICA URBANA NACIONAL
;ASISTENCIA TECNICA: INSTRUMENTACION E IMPLEMENTACION DEL MARCO DE PLANIFICACION Y GESTION TERRITORIAL Y URBANA DE LA POLITICA URBANA NACIONAL
2013011000202;ADMINISTRACION DEL FCA. ACCIONES DE ADAPTABILIDAD A LA VARIABILIDAD CLIMATICA POR FENOMENOS METEREOLOGICOS PARA EL DEPARTAMENTO DEL QUINDIO
1117000140000;ESTUDIO E INVESTIGACIONES GEOGRAFICAS PARA LOS PROCESOS DE PLANIFICACION Y ORDENAMIENTO TERRITORIAL A NIVEL NACIONAL
1117000140000;ESTUDIO E INVESTIGACIONES GEOGRAFICAS PARA LOS PROCESOS DE PLANIFICACION Y ORDENAMIENTO TERRITORIAL A NIVEL NACIONAL
1117000160000;LEVANTAMIENTO DE SUELOS, GEOMORFOLOGIA Y MONITOREO DE FACTORES QUE AFECTAN EL RECURSO TIERRA EN COLOMBIA.
1117000160000;LEVANTAMIENTO DE SUELOS, GEOMORFOLOGIA Y MONITOREO DE FACTORES QUE AFECTAN EL RECURSO TIERRA EN COLOMBIA.
0023002590000;DISEÑO Y EJECUCION DE LA ESTRATEGIA PARA LA GESTION NACIONAL E INTERNACIONAL DE LA AGENDA AMBIENTAL DEL SECTOR MINERO ENERGETICO COLOMBIANO. NACIONAL
;FORTALECIMIENTO DEL CENTRO NACIONAL DE RESERVA
0022013520000;ASISTENCIA TECNICA: INSTRUMENTACION E IMPLEMENTACION DEL MARCO DE PLANIFICACION Y GESTION TERRITORIAL Y URBANA DE LA POLITICA URBANA NACIONAL
0022013520000;ASISTENCIA TECNICA: INSTRUMENTACION E IMPLEMENTACION DEL MARCO DE PLANIFICACION Y GESTION TERRITORIAL Y URBANA DE LA POLITICA URBANA NACIONAL - PAGOS PASIVOS EXIGIBLES VIGENCIA EXPIRADA
0043000050000;MEJORAMIENTO Y DESARROLLO DE LA GESTION Y DE LOS RECURSOS DE INVESTIGACION - PREVIO CONCEPTO DNP
2014011000373;RECUPERACION DE LA CONECTIVIDAD HIDRICA DEL EMBALSE EL GUAJARO COMO ECOSISTEMA ESTRATEGICO EN EL DEPARTAMENTO DEL ATLANTICO PARA SU SOSTENIBILIDAD AMBIENTAL ANTE LOS IMPACTOS GENERADOS POR LOS EFECTOS DEL CAMBIO CLIMATICO
